,word_guesses,first_pass,solution_words,solution
586,amo;vareseti;arsi,S amo vareseti N T arsi AT O,Samovare;settarsia,Samovare settarsia
587,fon;anestetico;ali,fon D I anestetico T ali,Fondi;à;nese;ticotali,Fondi à' nese ticotali
588,botti;ceri;nata,botti ceri S A nata,Bottic;risanata,Bottic risanata
589,unti;ontano;Torino;uovo;arca,unti PO C ontano Torino N uovo DI M arca,Un;tipo;con;tanorino;nuovo;di;marca,Un tipo con tanorino nuovo di marca
590,corta;oli;tic;in;stria,AC corta P oli tic A in D U stria LE,Accorta;politica;industriale,Accorta politica industriale
591,re;anestetico;ali,P re SI anestetico T ali,Presidente;ticotali,Presidente ticotali
592,in;silos;Bi;limoni;Ti,in silos Bi limoni Ti,Insilosbilimoni;titi,Insilosbilimoni titi
593,vere;orata;menti,A vere VI orata D I menti,Aver;eviorata;dimenti,Aver eviorata dimenti
594,Ra;artemide;ode,T Ra TT artemide M ode,Trattar;temi;demodé,Trattar temi demodé
595,accetta;rovescio;stazioni,IN accetta rovescio N T E stazioni,Inaccettavose;contestazioni,Inaccettavose contestazioni
596,mina;massi;issa,SI mina E massi N issa,Simina;e;massinissa,Simina e massinissa
597,Pascoli;Capri;pesca,CA Pascoli ROC Capri NCI pesca,Capa;solcori;caprincipesca,Capa solcori caprincipesca
598,Padova;onda;pio,PO Padova UFR onda R pio,Popado;vaurondo;arpio,Popado vaurondo arpio
599,est;rottami;mente;con;dotto,R est Y rottami MA mente con dotto,Restyrotta;immamemente;condotto,Restyrotta immamemente condotto
600,zio;sia;unti,SFI zio sia P unti NO,Sfiziosi;apuntino,Sfiziosi apuntino
601,artemide;ami,F artemide S ami,Far;temi;d;esami,Far temi d'esami
602,nassa;Pascoli;buccia,U nassa ILI Pascoli B buccia,Un;assai;lia;colubuccia,Un'assai lia colubuccia
603,mici;teda,C O mici teda TI,Comici;tedati,Comici tedati
604,va;rose;borra;anche,va LO rose T R I borra M anche,Valorose;tribò;ramanche,Valorose tribò ramanche
605,artemide;nidi;ode,F artemide G nidi L ode,Far;temi;degni;di;lode,Far temi degni di lode
606,tasto;dita,TES tasto R dita,Testa;stordita,Testa stordita
607,mine;tra;pallini,mine S tra pallini NT E,Minestra;pallininte,Minestra pallininte
608,gelosi;con;more,S O gelosi con more,Sogel;os;i;conmo,Sogel os i' conmo
609,notes;franco;are,MA notes franco C C are,Mano;ters;fra;coccare,Mano ters fra coccare
610,ari;on;cardi,ari T on O cardi CA,Arionto;cardicca,Arionto cardicca
611,esca;trota;tra;tacchi,TR esca trota N tra T tacchi,Tre;scatrota;trattacchi,Tre scatrota trattacchi
612,viola;area;di;mente,viola FF area di T A mente,Violaffa;reatamente,Violaffa reatamente
613,pesce;oca;tane,pesce F IL oca tane SE,Pe;sefiloca;tanese,Pe sefiloca tanese
614,nani;lava,C A nani L lava LLE,Cananilla;valle;valle,Cananilla valle valle
615,para;destro;di;porta,para destro I di AS porta T E,Paradestroi;diportate,Paradestroi diportate
616,do;gnomo;dio,do P IN gnomo STA dio,Dopping;nome;stadio,Dopping nome stadio
617,Osella;etti,MI Osella M etti,Miose;lametti,Miose lametti
618,orchi;Stewart;Era,orchi Stewart Era,Orchista;vera,Orchista vera
619,nane;crini,BA nane IN crini,Banane;in;crini,Banane in crini
620,agave;natura;rata,V agave natura A MB rata,Vaga;venatura;ambrata,Vaga venatura ambrata
621,gnomo;arrossa;nato,LE gnomo L arrossa GI O nato,Legno;molar;rossagionato,Legno molar rossagionato
622,alci;salici,alci S salici NA,Alciss;salicina,Alciss salicina
623,olle;articoli,C olle articoli U SO,Collearti;coliuso,Collearti coliuso
624,in;catino;di;riso,in TRI catino di riso LTI,Intricati;nodi;risolti,Intricati nodi risolti
625,tra;artemide;orme;intere,tra T T artemide N orme intere SSE,Trattar;temi;d;enorme;interesse,Trattar temi d'enorme interesse
626,pirati;tane;orto,pirati S tane L T orto,Pira;ti;sta;nel;torto,Pira ti sta nel torto
627,starne;lama;Coris,R E starne L lama N Coris,Restar;nella;mancoris,Restar nella mancoris
628,naso;leva,U naso M leva,Una;somle;vavola,Una somle vavola
629,arca;radura,M arca TU radura,Marcatura;dura,Marcatura dura
630,pere;viola;are,S A pere viola F F are,Sapere;violaffa,Sapere violaffa
631,anca;Ivo,C anca NSF Ivo,Cancan;sfivovò,Cancan sfivovò
632,porta;in;menta,porta R in F menta,Porta;rinfmenta,Porta rinfmenta
633,Sardegna;amate,Sardegna S Q U amate,Sarde;gnasquame,Sarde gnasquame
634,tetro;teda,UN tetro teda NTO,Un;tetro;te;da;tanto,Un tetro te da tanto
635,Cam;Ivo,Cam P OD Ivo,Campò;divo,Campò divo
636,se;onde,se LL onde IT,Sellonde;in;dite,Sellonde in dite
637,papa;ondine;rase,papa L L ondine rase T A,Papalon;di;Nera;Seta,Papalon di Nera Seta
638,sciarada;toro;anni,LA sciarada L toro FF anni,Lasciar;ad;altri;off;anni,Lasciar ad altri off anni
639,sardina;velli,AR sardina R velli,Arsardi;narvelli,Arsardi narvelli
640,pesce;oboe,pesce FIL oboe MO,Pe;sefilobo;emo,Pe sefilobo emo
641,Pan;tiretti;ceri,Pan T tiretti L A ceri,Panttiret;tilaceri,Panttiret tilaceri
642,coppia;la;manti,S coppia L la R manti,Scoppi;allarmanti,Scoppi allarmanti
643,re;dottore;unite;si,P re SI dottore T unite N si,Presidente;tormentinesi,Presidente tormentinesi
644,re;lepre;nidi;Talia,B re lepre Z IO nidi Talia NO,Brele;prezioni;d;italiano,Brele prezioni d'italiano
645,ami;ambi;ovalata;re;mici,ami C O ambi G U ovalata T re N E mici,Amico;ambiguo;vala;tra;nemici,Amico ambiguo vala tra nemici
646,unte;negre;carene;Crati,unte R MI negre carene CNO Crati,Un;termine;greca;ree;necnocrati,Un termine greca ree necnocrati
647,ile;zio;eco,S ile N zio eco IA,Silenzioe;coia,Silenzioe coia
648,ara;viola;zio,F ara viola zio NI,Far;aviolazioni,Far aviolazioni
649,tale;vaso,N A tale vaso V E,Natale;vasov;evae,Natale vasov evae
650,rosa;bocca;esca,P rosa bocca C C esca,Prosa;bocaccesca,Prosa bocaccesca
651,cavolo;testa;di,TRA cavolo N testa di O,Tracavolonte;stadio,Tracavolonte stadio
652,in;silos;lima;Eros,in silos BI lima N OV Eros,Insilosbilimano;Veros;Iovi,Insilosbilimano Veros Iovi
653,leva,AR leva,Arle;Vavavavà,Arle Vavavavà
654,ultime;chini,A D ultime S chini,Adulti;meschini,Adulti meschini
655,grano;netta,MA grano N netta,Magra;nonnetta,Magra nonnetta
656,rotti;Dan,AVE rotti Dan CI,Aver;ottidi;casi,Aver ottidi casi
657,raggio;osa;campi,CO raggio S osa campi I,Coraggioso;scampi,Coraggioso scampi
658,do;Ares;ceri;risi,do N Ares IN ceri S O R risi,Donare;sinceri;sorrisi,Donare sinceri sorrisi
659,in;galilea,in TI galilea CI,Intiga;leaci,Intiga leaci
660,Chieti;ovalata;erme;tea;iuta,Chieti M ID ovalata GG erme N tea iuta TO,Chi;è;timido;va;latinamente;aiutato,Chi è timido va latinamente aiutato
661,occhi;di;pie;aia,B L occhi di pie T aia,Blocchi;di;pietà;ià,Blocchi di pietà ià
662,va;nidi;dottore;ali,GIO va nidi P E N dottore T ali,Giovani;dipendotti;retali,Giovani dipendotti retali
663,re;mura;are,P re mura D I F are,Premura;di;fare,Premura di fare
664,attiva;condotta,C attiva condotta,Cattiva;condotta,Cattiva condotta
665,grido;Rambo,CA grido T Rambo,Cagri;dottrambo,Cagri dottrambo
666,Panteone;solido,Panteone solido,Panteon;Esi,Panteon Esi
667,ossi;maniero;mani,T ossi CO maniero I NO mani,Tossicomani;eroimani,Tossicomani eroimani
668,viola;fa;bacca,viola F fa RA: bacca RA,Violaffa;r;abaccara,Violaffa r abaccara
669,ellissi;api;aia,B ellissi M api ET aia,Bellissima;pietà;ià,Bellissima pietà ià
670,nane;la;stria,O nane L la U stria,Onanela;rist;Austria,Onanela rist'Austria
671,par;Che;articoli;asso,par Che G articoli asso SO,Parchegarti;collassoso,Parchegarti collassoso
672,re;arma;sarde,AR re D arma N sarde,Arredar;mansarde,Arredar mansarde
673,assi;medie;Gere,M assi medie Gere ETO,Massime;di;Egereto,Massime di Egereto
674,sardine;astice;perle,U sardine LM astice perle GNO,Usar;din;elmasti;ce;pergno,Usar din elmasti ce pergno
675,amore;capo;ale,amore NI DI capo R ale,Amoreni;di;caporale,Amoreni di caporale
676,in;eroina;ora,V in ON: eroina NF ora,Vino;nero;in;anfora,Vino nero in anfora
677,ori;per;miss;la,TUT ori per miss la,Tutori;permissla,Tutori permissla
678,dotto;Edi;ale,PRO dotto M Edi C ale,Prodotto;medicale,Prodotto medicale
679,lario;con;gru,SA lario con gru O,Salario;congruo,Salario congruo
680,asso;Pan;Ra,SP asso Pan T E Ra,Spassop;anterara,Spassop anterara
681,tori;bocca;esca,S tori A bocca CC esca,Storia;boccaccesca,Storia boccaccesca
682,in;ossa;epa;orme;coni;volto,in D ossa R epa N T orme coni LR IS volto,Indossare;pantorme;con;il;risvolto,Indossare pantorme con il risvolto
683,minotauro;sta,RA minotauro ZZI sta,Rami;notaurozza,Rami notaurozza
684,ava;messo;tetti,ava M messo N P RO tetti,Avammesso;non;protetti,Avammesso non protetti
685,Magi;ultime;ali,IM Magi NIM ultime DI ali,Immagini;militimediali,Immagini militimediali
686,Ade;Pan;Era,C Ade O Pan T Era,Caedopan;terapia,Caedopan terapia
687,di;vate;genii,di vate L E genii C A,Diva;telegenia,Diva telegenia
688,papi;onda;Era,papi L L onda S Era,Pappillo;da;sera,Pappillo da sera
689,intere;santi;leva,intere S santi S S I leva,Interessantissi;leva,Interessantissi leva
690,dente;esterico;Leda;lame;tea;erta,STU dente S esterico A Leda L lame N tea P erta,Studentesse;ricoale;dalla;mente;aperta,Studentesse ricoale dalla mente aperta
691,bolli;va,B U bolli va TA,Subo;livatata,Subo livatata
692,re;di;brocca;mina,P re di brocca mina LI,Predibro;caminali,Predibro caminali
693,latore;Reno;abili,latore N P Reno T abili,Lato;per;penotabili,Lato per penotabili
694,alte;camicie;fon,alte R camicie L E fon O,Alterca;mi;elefono,Alterca mi elefono
695,para;intere;icona;zio,IM para RE intere S icona zio NI,Imparare;interessicona;zionini,Imparare interessicona zionini
696,essi;rea;re,S essi rea RI DE re,Sessiare;a;dire,Sessiare a dire
697,edera;gente,M edera G gente,Mede;raggente,Mede raggente
698,arrossita;rada;accetta,BA arrossita D U rada accetta RE,Barrossi;tadu;ra;dacquette,Barrossi tadu ra dacquette
699,fa;caraffa;etti,AF fa TI caraffa NN etti,Affaticar;affannetti,Affaticar affannetti
700,radura;est;ante,GA radura est A NC ante,Gara;dura;e;stancante,Gara dura e stancante
701,in;armadio;bilia;mici,in armadio bilia mici,Inarmadiobili;amici,Inarmadiobili amici
702,verso;tenere;amico;lessi,DO verso S tenere S amico MP lessi,Dover;sostener;esami;compessi,Dover sostener esami compessi
703,iro;nere;re,V iro nere G re CA,Viro;neregré;calca,Viro neregré calca
704,rana;articoli;asso,ING rana G articoli asso SO,Ingranagarti;collasso,Ingranagarti collasso
705,nume;Satiro;pelli,nume R OS Satiro P pelli,Numerosa;tiroppelli,Numerosa tiroppelli
706,teso;pera;tiara,MO teso M pera tiara TE,Moteso;permarià;t;rate,Moteso permarià t rate
707,lord;sale;Era,lord IO sale TT Era,Lordiosa;lettera,Lordiosa lettera
708,magri;moneta,magri moneta,Magrimo;moneta;per,Magrimo moneta per
709,Oglio;per;tori,Oglio per A tori,Oggi;operatori,Oggi operatori
710,arti;lario;etti,P arti CO lario G G etti,Particolari;oggetti,Particolari oggetti
711,stole;eroe;tiretti,PA stole GG eroe tiretti N TE,Pasto;leggero;e;tirettinte,Pasto leggero e tirettinte
712,pesca;sardina;sella;luccio,COP pesca sardina sella TE MA luccio,Coppe;scasardi;nasellate;maluccio,Coppe scasardi nasellate maluccio
713,mosche;radi;va;coro,AL mosche A radi va S coro SSI,Almoschea;di;Vasco;Rossi,"""Almoschea"" di Vasco Rossi"
714,alari;amaretto,S C alari NF amaretto,Scala;rinframaretto,Scala rinframaretto
715,apri;manovella;di;Pi;randello,L apri manovella di Pi randello,La;prima;novella;di;Pirandello,La prima novella di Pirandello
716,essi;mici,S essi T O mici,Sessio;mici,Sessio mici
717,lesa;arrossa;ode;eco,lesa T arrossa I ode LL eco SE,L;esatar;Rossai;odelle;cose,L'esatar Rossai odelle cose
718,fonti;fico;volata,fonti N fico A volata TA,Fontini;coa;volat;atatatà,Fontini coa volat atatà
719,van;da;tiretti,V I van da tiretti N TE,Vivanda;tirettinte,Vivanda tirettinte
720,ghibellini;rosa,RI ghibellini ET rosa,Rigi;bellinietta,Rigi bellinietta
721,super;Einaudi;amo;esca,super Einaudi E S amo R esca,Superei;nudaie;sormoresca,Superei nudaie sormoresca
722,ave;anta;mura,ave R T anta P RE mura,Aver;tanta;premura,Aver tanta premura
723,porta;amaro,porta F amaro,Porta;famaro,Porta famaro
724,mai;osti,mai L L osti C K,Maily;stoic;kick,Maily stoic kick
725,Cooper;rafia;Ming,Cooper U rafia M Ming A,Cooperù;rafiamminga,Cooperù rafiamminga
726,avidi;stie;con;mici,GR avidi SSE stie con O mici,Gravi;dissesti;economici,Gravi dissesti economici
727,Verdi;Rossi;rosso,V I Verdi G Rossi rosso FF,Viver;di;grossi;rosso,Viver di grossi rosso
728,oca;re;risi,GI oca re A risi KO,Giocare;a;Risiko,Giocare a Risiko
729,Idra;icona,Idra UL icona NO,Idraulico;nano,Idraulico nano
730,pallina;toro;busto,pallina toro busto,Pallinato;robusto,Pallinato robusto
731,pera;ree;colo;covo;Erie,O pera TO ree colo G I covo L Erie,Operatore;ecologico;vocolerie,Operatore ecologico vocolerie
732,Asti;Io;SOS,F Asti D Io SOS PAM,Fastidioso;spam,Fastidioso spam
733,Ontario;onde,M Ontario N OS onde,Monte;tonosonde,Monte tonosonde
734,oca;Lem;sardella,L oca Lem AN sardella TO,Locale;mansardello,Locale mansardello
735,astro;nidi;aia,L astro nidi P I ET aia,Lastroni;di;pietà;ià,Lastroni di pietà ià
736,eco;ode;poli,IL eco T ode L poli,Il;ecoto;del;Polonia,Il ecoto del Polonia
737,arco;Boccia;corsia;gente;esca;rossi,M arco RE Boccia C corsia R gente RO esca rossi O,Marco;Reboc;accorsi;argenterò;e;scorrosio,"Marco, Reboc, accorsi, argenterò e scorrosio"
738,ante;cometa;dotto,GIG ante S cometa NO dotto,Gigantesco;metanodotto,Gigantesco metanodotto
739,re;dottore;nati,IR re dottore FA nati C O,Irredottore;fanatico,Irredottore fanatico
740,per;articoli,per TU articoli U SO,Pertuarti;coliuso,Pertuarti coliuso
741,catino;eco;mici,MER catino N eco N O mici,Mercati;non;economici,Mercati non economici
742,Erie;dinari,VOL Erie R dinari,Volerire;dinari,Volerire dinari
743,ferma;sinistro;manzi,AF ferma sinistro manzi ERI,Affermasi;Nimmanzieri,Affermasi Nimmanzieri
744,Pan;astro,Pan C astro FA,Pancastro;fafa,Pancastro fafa
745,Erie;tenui,VOL Erie tenui O,Voleriete;nuovo,Voleriete nuovo
746,est;teglia;mori;boccia,D est A teglia mori S boccia NO,D;estate;gli;amori;sbocciano,D'estate gli amori sbocciano
747,aro;nera,M aro nera TA,Maria;Onerata,Maria Onerata
748,papi;onde;ode,papi L L onde M ode,Pappillo;demodé,Pappillo demodé
749,erma;zio;onda,AFF erma zio NE INF onda,Affermazione;infondata,Affermazione infondata
750,esca;mora,VI esca mora TI,Vie;scamorati,Vie scamorati
751,chiavi;Magno;ladro,S chiavi Magno ladro GA,Schiavi;magno;droga,Schiavi magno droga
752,lava;lesina;anche;oche;silos;ile,lava R O lesina anche C I oche E I N silos B ile,L;avaro;lesina;anche;ciò;che;è;insilosbile,L'avaro lesina anche ciò che è insilosbile
753,lastra;aperto;area;sa,lastra D aperto RN area C A sa,La;strada;per;tornare;a;casa,La strada per tornare a casa
754,grano;antenne,MA grano V antenne,Magra;novantenne,Magra novantenne
755,mele;Dante;ali,mele N Dante N ali TA,Melenda;tenalita,Melenda tenalita
756,cunei;eco;Lazio,cunei N T eco Lazio NE,Cuneinteco;lazioné,Cuneinteco lazioné
757,mani;star;epe;lessi,mani F E star epe RP lessi TA,Manifestare;perplessità,Manifestare perplessità
758,Fo;Pan;Idi;cosce,Fo S Pan P Idi ES cosce SI,Fospan;pidiès;c;oscescisi,Fospan pidiès c oscescisi
759,perso;attiva,perso N A C attiva,Persona;cattiva,Persona cattiva
760,cabina;rare,S cabina LLE rare,Scabi;nanarelare,Scabi nanarelare
761,trota;ali,trota N TR ali,Trotà;traliali,Trotà traliali
762,mole;manti,U mole manti C I,Uolem;e;manticci,Uolem e manticci
763,Ares;anelli;venatura,F Ares C I anelli venatura LE,Fare;sci;anelli;venà;tarule,Fare sci anelli venà tarule
764,esca;remo;ori,S esca KE remo T ori,Sescakerem;o;motori,Sescakerem o motori
765,branda;Gea;dotto,branda Gea dotto,Brandage;ad;otto,Brandage ad otto
766,fa;volo;sinai;eco;aghi;tee;aghi,fa volo sinai RI eco N M aghi FA tee DR aghi,Favolosi;narreri;con;maghi;fate;e;draghi,"Favolosi narreri con maghi, fate e draghi"
767,top;altare,FOL top altare NE,Folto;platarene,Folto platarene
768,ave;latte;sci,ave R E latte sci NZA,Avere;l;attes;cinzà,Avere l'attes cinzà
769,maniero;mani,RO maniero mani NE,Romani;e;romanine,Romani e romanine
770,cunei;tea;mento,cunei N tea L I mento,Cuneintea;limento,Cuneintea limento
771,malesi;azione,N O R malesi TU azione,Normale;situazione,Normale situazione
772,toro;tese;re,S toro tese V E re,Storotese;vere,Storotese vere
773,ginestra;urna,SA ginestra TT urna,Sagin;estrattur,Sagin estrattur
774,la;rovo;Erie,la V O rovo L Erie,Lavoro;volerie,Lavoro volerie
775,lord;oche;rima;neve;lato,lord oche rima neve lato,Lordo;che;rimane;velato,Lordo che rimane velato
776,mesi;aiole;cane,RI mesi CU aiole S cane,Rime;sicuaio;lescano,Rime sicuaio-lescano
777,sardina;rimedi;Eva,RI sardina N T rimedi Eva LI,Risardi;nanti;medevali,Risardi nanti medevali
778,partigiana;Ra,partigiana P U Ra,Partigì;anapù,Partigì anapù
779,cava;lidi;risi,cava L lidi F risi A,Cavalli;di;frisia,Cavalli di frisia
780,sci;ocarina,BI sci NT ocarina,Bisci;noto;carina,Bisci noto carina
781,toro;rea;in,S toro rea S in I,Stororeasi;nisi,Stororeasi nisi
782,Chimera;teste,Chimera N teste S O,Chimera;neste,Chimera neste
783,nani;re;tino,C A nani LT re N tino,Cananilt;ren;tintino,Cananilt ren tintino
784,Ares;dati,M Ares S O L dati,Mare;soldatì,Mare soldatì
785,duca;scola;Nino;tino,duca O RE scola Nino C EN tino,Duchoresco;lani;nocentino,Duchoresco lani nocentino
786,molo;dotto,PO molo dotto NE,Pomolo;d;ottone,Pomolo d'ottone
787,lava;padella;in;coppia,lava M padella M in AS coppia TA,La;vampa;della;mina;scoppiata,La vampa della mina scoppiata
788,avidi;ossa;tegame,N avidi G R ossa S tegame,Navi;di;grossa;stegame,Navi di grossa stegame
789,ami;Diana;denti,ES ami N Diana LU denti,Esaminar;iani;ludentini,Esaminar iani ludentini
790,al;rete;venti,SP al rete venti,Spalre;teventi,Spalre teventi
791,Talia;luci;genii,MOR Talia L luci N O genii,Mortali;allucinogeni,Mortali allucinogeni
792,orsi;reo;Mia,T orsi A reo Mia E,Torsiare;omie,Torsiare omie
793,automa;disco,C automa N disco,Cauto;mandisco,Cauto mandisco
794,rossi;danno,FU rossi FA danno,Furos;si;fa;danno,Furos si fa danno
795,diesis;legge;mente;ala,BI diesis legge R mente S ala TA,Bidiesi;seggermente;salata,Bidiesi seggermente salata
796,orchi;orate,B orchi E D orate,Borchie;dorate,Borchie dorate
797,tra;artemide;menti,tra T T artemide P R I menti,Trattar;temi;deprimenti,Trattar temi deprimenti
798,intere;ostia;tali;ari,"intere S ostia VI, tali B R ari E",Interesostia;vitali;barriere,Interesostia vitali barriere
799,colo;epa;squali;colmi;ciocco;lato;dente,colo M B epa squali R I colmi D I ciocco lato F ON dente,Colombe;pasquali;ricolmidi;ci;occolato;fondente,Colombe pasquali ricolmidi ci occolato fondente
800,Chimera;Cipro;etti,Chimera U LI Cipro V etti,Chimerauli;coveretti,Chimerauli coveretti
801,camini;lido,RI C camini E lido NIO,Ricca;miniera;d;Oonio,Ricca miniera d'Oonio
802,Bi;diesis;alata,Bi diesis S alata,Bidiesis;salata,Bidiesis salata
803,in;teste,in VA teste R,Invastete;rer,Invastete rer
804,tede;barbiere,A R tede CA barbiere,Arte;decabarbiere,Arte decabarbiere
805,legge;Arisa;mura,legge N D Arisa mura I,Leggendari;samurai,Leggendari samurai
806,risi;Rodolfo,risi EDE Rodolfo ACO,Risieder;o;dolfo,Risieder o dolfo
807,viola;sedili,viola sedili NO,Viola;se;dilì,Viola se dilì
808,campanelli;re;nota,campanelli N P re nota TI,Campa;nel;prenotati,Campa nel prenotati
809,rive;re;birillo,rive D E re birillo TI,Rivedere;biril;loti,Rivedere biril loti
810,lame;Diana;proiettile,lame Diana proiettile,La;mediana;proiettile,La mediana proiettile
811,rotti;rate;odi;musi,rotti A rate M P odi musi C A,Rottiar;e;tempo;di;musica,Rottiar e tempo di musica
812,epa;monella,TR epa monella R I,Tre;pomonelli;rari,Tre pomonelli rari
813,Ares;toro,D Ares toro TE,Dare;storotote,Dare storotote
814,Bell;agenti;lepre;muro;eco;Dante,Bell agenti lepre muro eco Dante,Bella;gentile;premuroe;codante,Bella gentile premuroe codante
815,corta;rete;timoni,S corta rete S timoni,Scortare;testimoni,Scortare testimoni
816,papero;nido,I papero nido RO,I;paperno;d;Iro,I paperno d'Iro
817,nasse;arrossita;ile,U nasse T arrossita B ile,Un;assetar;rossità,Un assetar rossità
818,corta;divi,S corta divi P,Scorta;di;vip,Scorta di vip
819,foro;mani;aperto,TI foro mani ST aperto TTI,Tifo;romanista;per;Totti,Tifo romanista per Totti
820,ellissi;leva;more,B ellissi leva D A more,Bellissile;vadamore;';remo,Bellissile vadamore 'remo
821,foro;raggio,TRI foro raggio SA,Trifor;oraggioosa,Trifor oraggioosa
822,Arpie;arco;spira;tori,Arpie arco spira tori,Arpiear;cospiratori,Arpiear cospiratori
823,vite,FA vite,Favi;tetri,Favi tetri
824,medi;con;dotto,medi CO con dotto,Medico;condotto,Medico condotto
825,brocca;asce;nate;tra,brocca L IC asce nate A tra L E,Broccali;casce;nateature,Broccali casce nateature
826,fiorino;ancora;pallone,fiorino N ancora S pallone TI,Fiori;non;ancora;spalloneti,Fiori non ancora spalloneti
827,ara;teda;sella,C ara F teda sella TA,Caratte;desellata,Caratte desellata
828,esili;ora,esili O D ora TO,Esilio;dorato,Esilio dorato
829,Scola;colo;sale,DIS Scola colo S sale,Disscola;colossale,Disscola colossale
830,tacco;Edison;rio,CAN tacco RI Edison D rio,Cantacoriedi;on;dorio,Cantacoriedi on dorio
831,canoa;ali;Parigi;tiretti;dischi,VUL canoa LB ali Parigi A N tiretti dischi A,Vulcano;Alba;Lipari;giantiretti;di;schia,"Vulcano, Alba, Lipari, giantiretti di schia"
832,tra;calze;amo,tra FF I calze R amo,Traffica;nel;Zeramo,Traffica nel Zeramo
833,vie;star;lima;ninfa;eroe;doni,vie BB star T A lima ninfa LI eroe G OL doni,Vi;ebbar;t;alima;ninfa;lieroe;g;odondoni,"Vi ebbar t alima ninfa, lieroe g odondoni"
834,sasso;dita;chino;Era,BI sasso dita C chino T EN Era,Bisassod;it;achinote;nerà,Bisassod it achinote nerà
835,est;nidi;sarda;gendarme,IF est I nidi sarda N A gendarme,I;festini;di;sardenagendarme,I festini di sardenagendarme
836,fa;sardella,fa L sardella TI,Falsar;delli,Falsar delli
837,striscia;leggio,ES striscia NO leggio,Estrisi;c;anoleggiò,Estrisi c anoleggiò
838,onesto;anelli,MI onesto R F anelli,Mione;storfanelli,Mione storfanelli
839,mais;antenne,NE mais V antenne,Nemai;svantenne,Nemai svantenne
840,ode;arpa;alone,F ode R arpa N T alone,Fodera;rantalone,Fodera rantalone
841,sedia;nane;mi,AS sedia R CA nane mi CI,Assediar;cananemi;cimici,Assediar cananemi cimici
842,ponente;corta,IM ponente S corta,Imponente;scorta,Imponente scorta
843,sardine;Ate,PE sardine RR Ate,Pesar;dinerate,Pesar dinerate
844,soli;dardi;anonimi,C O N soli dardi anonimi,Consolidar;dinomi,Consolidar dinomi
845,corta;rema;strati,S corta rema G I strati,Scortare;magistrati,Scortare magistrati
846,mici;coni;olle;arrossita;ile,CA mici A coni L C olle T arrossita C CAB ile,Camicia;con;il;colletar;rossicabile,Camicia con il colletar rossicabile
847,usa;colo;mina,BL usa colo R mina,Blusa;color;minata,Blusa color minata
848,salvate;Rambo,VI salvate T Rambo,Visa;vetrambo,Visa vetrambo
849,cinesi;lente,cinesi lente,Cine;silente,Cine silente
850,assi;asse;onore,P assi ONE asse C onore,Passione;assecondore,Passione assecondore
851,ava;pinna;orata,UN ava M pinna M orata,Una;vamp;innamorata,Una vamp innamorata
852,allarme;pira;tori;cono;sci;mento,allarme pira tori cono sci mento,Allarmepira;toriconoscimento,Allarmepira toriconoscimento
853,lario;pero,SCO lario pero SI,Scolari;operosi,Scolari operosi
854,nera;nota,TE nera BI nota,Tenera;binotata,Tenera binotata
855,arti;rei;panino,M arti rei R R E panino,Martire;irriverente,Martire irriverente
856,oli;Udine;amaretto,S oli T Udine F amaretto,Solitudine;famaretto,Solitudine famaretto
857,parche;articoli,parche G articoli US O,Parchegarti;colio,Parchegarti colio
858,in;tender;aperto,in tender ROM aperto MA,Intender;Roma;per;Tomà,Intender Roma per Tomà
859,pedale;casco;data,DA pedale RI casco R data,Dape;dericas;cordata,Dape dericas cordata
860,Cooper;Eschilo;ali,Cooper O R Eschilo C ali,Cooperoreschi;locali,Cooperoreschi locali
861,ape;sonar;radi;tee;tina,UN ape R sonar radi EN tee OS tina TA,Una;persona;radiamente;è;ostinata,Una persona radiamente è ostinata
862,attiva;stia;aia;lati,TR attiva stia SS aia S S O lati,Tratti;visti;assai;assolati,Tratti visti assai assolati
863,delta;il;Po;Po;verso;legge,FE delta il Po Po LO verso L A legge,Fedeltà;il;popolo;verso;la;legge,Fedeltà il popolo verso la legge
864,nato;menta;tatto;Adamo,U nato R menta tatto RI Adamo RE,Una;tormentata;toria;d;amore,Una tormentata toria d'amore
865,danza;tasto,FI danza tasto LTA,Fidanzata;stolta,Fidanzata stolta
866,artemide;denti,F artemide L U denti,Far;temi;deludenti,Far temi deludenti
867,acanto;nera,M acanto nera NDA,Maca;toneranda,Maca toneranda
868,ore;esca;onda,VOL ore LAP esca M onda,Volore;la;pesca;monda,Volore la pesca monda
869,aria;dito,P aria RI dito,Pari;ariditto,Pari ariditto
870,irati;scafi;aghi,P irati scafi aghi,Pirati;scafiaghi,Pirati scafiaghi
871,pollo;lumi;Abu;dalie;asso,pollo C K lumi TT Abu dalie PI C asso,Pollock;lumitta;budà;lieve;p;icasso,"Pollock, lumitta, budà, lieve p icasso"
872,asso;azione;divo;Erie;pedali,asso C I azione divo L Erie S pedali E RI,Associazione;di;volontieri;espedalieri,Associazione di volontieri espedalieri
873,piombaro;fari,RI piombaro D AF fari,Ripiomba;r;affari,Ripiomba r'affari
874,signore;vi,signore IO vi RIE,Signorei;virié,Signorei virié
875,est;Eros;toro,D est RI Eros toro TO,Destriero;storotato,Destriero storotato
876,orchi;dee;Ra;re,orchi dee Ra re,Orchidea;reare,Orchidea reare
877,ontano;neve,P ontano neve RDE,Pontano;Nerde,Pontano Nerde
878,pia;oli;leva,pia CEV oli S SI leva,Piacevolissile;vileva,Piacevolissile vileva
